Date,Open,High,Low,Close,Adj Close,Volume,ma1,ma2,ma3,ma5,ma9,ma10,ma20,ma1x2,ma1x3,ma1x5,ma1x9,ma1x10,ma1x20,ma2x3,ma2x5,ma2x9,ma2x10,ma2x20,ma3x5,ma3x9,ma3x10,ma3x20,ma5x9,ma5x10,ma5x20,ma9x10,ma9x20,ma10x20,updown,updowns_percents
1999-02-05,1.6302083730697632,1.6666666269302368,1.5885416269302368,1.6510416269302368,1.51889169216156,3421200.0,1.6510416269302368,1.6276041269302368,1.5920138756434123,1.5760416746139527,1.607060194015503,1.6276041746139527,,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.02922077994460026
1999-02-08,1.6614583730697632,1.6666666269302368,1.59375,1.59375,1.4661850929260254,3852000.0,1.59375,1.6223958134651184,1.6163194179534912,1.571875,1.5983796384599473,1.6057291746139526,,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,-1,-0.03470029222507154
1999-02-09,1.625,1.6354166269302368,1.5104166269302368,1.53125,1.408687949180603,2174400.0,1.53125,1.5625,1.5920138756434123,1.5802083253860473,1.58333334657881,1.5916666746139527,,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-0.039215686274509776
1999-02-10,1.53125,1.5729166269302368,1.4895833730697632,1.515625,1.3943132162094116,3705600.0,1.515625,1.5234375,1.546875,1.5791666507720947,1.5671296384599473,1.576562511920929,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,-1,-0.010204081632653073
1999-02-11,1.5208333730697632,1.7083333730697632,1.5208333730697632,1.6458333730697632,1.5140997171401978,3306000.0,1.6458333730697632,1.5807291865348816,1.5642361243565877,1.5875,1.5740740829043918,1.5750000119209289,,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0859106791388129
1999-02-12,1.6666666269302368,1.75,1.6666666269302368,1.7395833730697632,1.6003462076187134,2743200.0,1.7395833730697632,1.6927083730697632,1.6336805820465088,1.6052083492279052,1.5879629717932806,1.5906250119209289,,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0.056962023941184325
1999-02-16,1.7708333730697632,1.84375,1.5729166269302368,1.75,1.6099289655685425,5275200.0,1.75,1.7447916865348816,1.7118055820465088,1.6364583492279052,1.616898152563307,1.6041666746139527,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.005988000972816376
1999-02-17,1.7083333730697632,1.7291666269302368,1.625,1.65625,1.5236828327178955,1693200.0,1.65625,1.703125,1.7152777910232544,1.6614583492279054,1.6319444444444444,1.6208333373069763,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.0535714285714286
1999-02-18,1.7083333730697632,1.7291666269302368,1.6354166269302368,1.6822916269302368,1.547640323638916,1767600.0,1.6822916269302368,1.6692708134651184,1.6961805423100789,1.6947916746139526,1.640625,1.6369791626930237,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.015723246448444916
1999-02-19,1.6666666269302368,1.7708333730697632,1.6458333730697632,1.7395833730697632,1.6003462076187134,1884000.0,1.7395833730697632,1.7109375,1.6927083333333333,1.7135416746139527,1.6504629717932806,1.6505208373069764,1.6385416746139527,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.03405577559942419
